"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"AC007666.2",1.56439325606759,-1.35100798321349,0.91543012277787,-1.47581770535785,0.139992836362723,0.212265635754196,0,0.00173503532036188
"IGLV5-52",1.5169930145144,-1.83092339502391,0.938980156893009,-1.94990637617119,0.0511872790310672,NA,0,0.000371793282934688
"GGT1.1",1.60137579518786,-2.03998396732988,0.946379979906739,-2.15556542894209,0.0311176144678767,0.0861066451314457,0.00210970464135021,0
"C22orf31",1.56582210208979,-1.44677011197015,0.944975758951542,-1.53101293685602,0.125766195376762,0.196422798665327,0,0.000371793282934688
"LINC02558",1.61753417804088,-1.02070192127695,0.864564951603264,-1.18059599730956,0.237763254490335,0.316101688543171,0,0.00347007064072376
"AL008723.2",1.6010117122694,-1.2217419100486,0.877745421167284,-1.39190918070965,0.163949901408396,0.238751525622039,0,0.00297434626347751
"AL008635.1",1.6854644447193,-1.41975434356667,0.921753587224915,-1.54027536561161,0.123493245889336,0.194152346185246,0.00210970464135021,0.000495724377246251
"PKDREJ",1.51552593520606,-1.8391804152535,0.94625559133836,-1.94364020893363,0.0519388534611404,NA,0,0.000247862188623126
"ARSD-AS1",1.5437873885994,-1.5790144135003,0.895069367140234,-1.76412518567727,0.0777109050200084,0.148116316155316,0,0.00123931094311563
"AC006062.1",1.51771640755826,-1.79920257333665,0.950738670385761,-1.89242599399752,0.0584342453736423,NA,0,0.000247862188623126
"AL354793.1",1.52577519714384,-1.74020418399938,0.921571754564243,-1.88830026026809,0.0589856524065201,NA,0,0.000743586565869377
"AL139397.1",1.5241601878016,-1.73607611148589,0.940263153746377,-1.8463725868324,0.064838124759361,NA,0,0.000371793282934688
"ARMCX3-AS1",1.54657361718219,-1.55469030678234,0.894361795618527,-1.73832370121215,0.0821537923972988,0.152190116483662,0,0.00111537984880406
"AL645608.4",1.73143562300968,-1.8709032986192,0.881224704594843,-2.12307177597724,0.0337478376909367,0.0891376373506484,0.00421940928270042,0.00111537984880406
"CD164L2",1.61848079651166,-0.992830985942513,0.865921740989616,-1.14655971659501,0.251563633400931,0.330576459433459,0,0.069153550625852
"MKNK1-AS1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"AC103591.4",1.51771640755826,-1.79920257333665,0.950738670385761,-1.89242599399752,0.0584342453736423,NA,0,0.000247862188623126
"AC104459.1",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"AC011995.2",1.73878338763432,-0.809472807666076,0.912750737333775,-0.886849798698182,0.375159772443358,0.454032431465822,0,0.00235469079191969
"AC009501.3",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
